0,1405007694,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405007803,110733,30600,100,14085,23562,1,30510,98,14070,23859,3
0,1405007804,111734,30600,100,14085,23562,1,30510,98,14070,23859,3
0,1405007805,112744,30600,100,14090,23562,1,30510,98,14070,23859,3
0,1405007806,113750,30600,100,14090,23562,1,30510,98,14075,23859,3
0,1405007807,114762,30600,98,14090,23562,1,30510,98,14075,23859,3
0,1405007809,116006,30600,98,14090,23562,1,30510,98,14075,23859,3
0,1405007810,117012,30600,100,14095,23551,1,30510,98,14080,23859,3
0,1405007811,118020,30600,100,14095,23562,1,30510,98,14080,23859,3
0,1405007812,119022,30600,100,14100,23562,1,30555,98,14085,23859,3
0,1405007813,120034,30600,100,14100,23562,1,30510,98,14085,23859,3
0,1405007814,121044,30600,100,14100,23562,1,30510,98,14085,23859,3
0,1405007815,122049,30600,100,14100,23562,1,30510,98,14090,23859,3
0,1405007816,123054,30600,100,14105,23562,1,30510,98,14090,23859,3
0,1405007817,124065,30600,100,14105,23562,1,30510,98,14090,23859,3
0,1405007818,125073,30600,100,14105,23562,1,30510,98,14090,23859,3
0,1405007819,126078,30600,100,14105,23562,1,30510,98,14095,23859,3
0,1405007820,127079,30600,100,14110,23562,1,30510,98,14095,23859,3
0,1405007821,128083,30600,100,14110,23562,1,30510,98,14095,23859,3
0,1405007822,129091,30600,100,14110,23562,1,30510,98,14095,23859,3
0,1405007823,130094,30600,100,14110,23562,1,30510,98,14100,23859,3
0,1405007824,131103,30600,100,14115,23562,1,30510,98,14100,23859,3
0,1405007825,132110,30600,100,14115,23562,1,30510,98,14100,23859,3
0,1405007826,133118,30600,100,14115,23562,1,30510,98,14100,23859,3
0,1405007827,134124,30600,100,14120,23562,1,30510,98,14105,23859,3
0,1405007828,135127,30600,98,14120,23562,1,30510,98,14105,23859,3
0,1405007829,136129,30600,100,14120,23562,1,30510,98,14105,23859,3
0,1405007830,137133,30600,100,14125,23562,1,30510,98,14105,23859,3
0,1405007831,138142,30600,100,14125,23562,1,30510,98,14110,23859,3
0,1405007832,139150,30600,98,14125,23562,1,30510,98,14110,23859,3
0,1405007833,140155,30600,100,14125,23562,1,30510,98,14110,23859,3
0,1405007834,141163,30600,100,14130,23562,1,30510,98,14115,23859,3
0,1405007835,142175,30600,98,14130,23562,1,30510,98,14115,23859,3
0,1405007836,143176,30600,100,14130,23562,1,30510,98,14115,23859,3
0,1405007837,144188,30600,100,14135,23562,1,30510,98,14120,23859,3
0,1405007838,145192,30600,100,14135,23562,1,30510,98,14120,23859,3
0,1405007839,146196,30600,100,14135,23562,1,30510,98,14120,23859,3
0,1405007840,147203,30600,100,14135,23562,1,30510,98,14120,23859,3
0,1405007841,148208,30600,98,14135,23562,1,30510,98,14120,23859,3
0,1405007842,149210,30600,98,14140,23562,1,30510,98,14125,23859,3
0,1405007843,150211,30600,100,14140,23562,1,30555,98,14125,23859,3
0,1405007844,151214,30600,100,14140,23562,1,30510,98,14125,23859,3
0,1405007845,152220,30600,100,14145,23562,1,30510,98,14130,23859,3
0,1405007846,153224,30600,100,14145,23562,1,30510,98,14130,23859,3
0,1405007847,154230,30600,100,14145,23562,1,30510,98,14130,23859,3
0,1405007848,155232,30600,100,14145,23562,1,30510,98,14130,23859,3
0,1405007849,156243,30600,98,14150,23562,1,30510,98,14135,23859,3
0,1405007850,157258,30600,100,14150,23562,1,30510,98,14135,23859,3
0,1405007851,158263,30600,100,14150,23562,1,30510,98,14135,23859,3
0,1405007852,159264,30600,100,14155,23562,1,30510,98,14135,23859,3
0,1405007853,160269,30600,100,14155,23562,1,30510,98,14140,23859,3
0,1405007854,161272,30600,98,14155,23551,1,30555,98,14140,23859,3
0,1405007855,162284,30600,98,14155,23562,1,30510,98,14140,23859,3
0,1405007856,163290,30600,98,14160,23562,1,30510,98,14145,23859,3
0,1405007857,164298,30600,100,14160,23562,1,30510,98,14145,23859,3
0,1405007858,165301,30600,100,14160,23562,1,30510,98,14145,23859,3
0,1405007859,166302,30600,98,14160,23562,1,30510,98,14145,23859,3
0,1405007860,167304,30600,98,14165,23562,1,30510,98,14145,23859,3
0,1405007861,168313,30600,100,14165,23562,1,30510,98,14150,23859,3
0,1405007862,169314,30600,100,14165,23551,1,30510,98,14150,23859,3
0,1405007863,170323,30600,98,14165,23562,1,30510,98,14150,23859,3
0,1405007864,171325,30600,100,14170,23562,1,30510,98,14150,23859,3
0,1405007865,172335,30600,100,14170,23551,1,30510,98,14155,23859,3
0,1405007866,173343,30600,98,14170,23562,1,30510,98,14155,23859,3
0,1405007867,174349,30600,98,14175,23562,1,30510,98,14155,23859,3
0,1405007868,175352,30600,98,14175,23562,1,30510,98,14160,23859,3
0,1405007869,176357,30600,98,14175,23562,1,30510,98,14160,23859,3
0,1405007870,177371,30600,100,14175,23562,1,30555,98,14160,23859,3
