0,1405105215,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405105314,101778,30555,100,14335,23518,1,30465,100,14225,23881,3
0,1405105315,102792,30555,100,14340,23518,1,30465,100,14230,23881,3
0,1405105316,103801,30555,100,14340,23507,1,30465,100,14230,23881,3
0,1405105317,104808,30555,100,14345,23518,1,30465,100,14230,23881,3
0,1405105318,105819,30555,100,14345,23518,1,30465,100,14235,23881,3
0,1405105319,106823,30555,100,14345,23507,1,30465,100,14235,23881,3
0,1405105320,107836,30555,100,14345,23518,1,30465,100,14235,23881,3
0,1405105321,108841,30555,100,14350,23507,1,30420,100,14240,23881,3
0,1405105322,109846,30555,100,14350,23518,1,30465,100,14240,23881,3
0,1405105323,110851,30555,100,14355,23507,1,30465,100,14245,23881,3
0,1405105324,111857,30555,100,14355,23507,1,30465,100,14245,23881,3
0,1405105325,112858,30555,100,14355,23507,1,30465,100,14245,23881,3
0,1405105326,113863,30555,100,14360,23518,1,30465,100,14250,23881,3
0,1405105327,114869,30555,100,14360,23518,1,30465,100,14250,23881,3
0,1405105328,115875,30555,100,14365,23507,1,30465,100,14250,23881,3
0,1405105329,116881,30555,100,14365,23507,1,30465,100,14255,23881,3
0,1405105331,118181,30555,100,14365,23507,1,30465,100,14255,23881,3
0,1405105332,119182,30555,100,14370,23507,1,30465,100,14255,23881,3
0,1405105333,120183,30555,101,14370,23507,1,30465,100,14260,23881,3
0,1405105334,121189,30555,101,14370,23507,1,30465,100,14260,23881,3
0,1405105335,122194,30555,101,14370,23507,1,30465,100,14260,23881,3
0,1405105336,123200,30555,100,14375,23507,1,30465,100,14260,23881,3
0,1405105337,124202,30555,100,14375,23518,1,30465,98,14265,23881,3
0,1405105338,125209,30555,98,14375,23507,1,30465,98,14265,23881,3
0,1405105339,126211,30555,98,14380,23507,1,30465,100,14265,23881,3
0,1405105340,127219,30555,101,14380,23507,1,30465,101,14270,23881,3
0,1405105341,128896,30555,100,14380,23507,1,30465,100,14270,23881,3
0,1405105342,129901,30555,100,14385,23507,1,30465,100,14270,23881,3
0,1405105343,130902,30555,100,14385,23507,1,30465,100,14275,23881,3
0,1405105344,131906,30555,100,14385,23507,1,30465,100,14275,23881,3
0,1405105345,132913,30555,100,14390,23507,1,30465,100,14275,23881,3
0,1405105346,133917,30555,100,14390,23507,1,30465,100,14280,23881,3
0,1405105347,134918,30555,100,14390,23507,1,30465,100,14280,23881,3
0,1405105348,135925,30555,100,14395,23507,1,30465,100,14280,23881,3
0,1405105349,136926,30555,100,14395,23507,1,30465,100,14280,23881,3
0,1405105350,137929,30555,100,14395,23507,1,30465,100,14285,23881,3
0,1405105351,138932,30555,100,14400,23507,1,30465,100,14285,23881,3
0,1405105352,139935,30555,1,14350,23199,1,30465,1,14235,23881,3
0,1405105353,140939,30555,68,14375,23397,1,30465,68,14260,23870,3
0,1405105354,141941,30555,100,14395,23507,1,30465,100,14280,23881,3
0,1405105355,142965,30555,100,14400,23507,1,30465,100,14285,23881,3
0,1405105356,143968,30510,0,14350,23199,1,30465,0,14240,23881,3
0,1405105357,144973,30555,2,14345,23221,1,30465,2,14235,23881,3
0,1405105358,145979,30510,1,14345,23232,1,30465,1,14235,23881,3
0,1405105359,146980,30555,1,14345,23232,1,30465,1,14230,23881,3
0,1405105360,147981,30555,17,14355,23309,1,30465,16,14245,23881,3
0,1405105361,148984,30555,2,14345,23221,1,30465,2,14230,23881,3
0,1405105362,149986,30555,100,14395,23507,1,30465,100,14280,23881,3
0,1405105363,150999,30555,100,14395,23507,1,30465,100,14285,23881,3
0,1405105365,152003,30555,100,14400,23507,1,30465,100,14285,23881,3
0,1405105366,153023,30555,2,14355,23210,1,30465,2,14240,23881,3
0,1405105367,154026,30555,2,14350,23199,1,30465,1,14235,23881,3
0,1405105368,155038,30555,2,14345,23199,1,30465,1,14235,23881,3
0,1405105369,156049,30555,71,14375,23419,1,30465,71,14265,23870,3
0,1405105370,157059,30555,100,14395,23507,1,30465,100,14285,23881,3
0,1405105371,158068,30555,100,14400,23507,1,30465,100,14290,23881,3
0,1405105372,159071,30555,100,14405,23507,1,30465,100,14290,23881,3
0,1405105373,160079,30555,100,14405,23507,1,30465,100,14290,23881,3
0,1405105374,161091,30555,100,14405,23507,1,30465,100,14295,23881,3
0,1405105375,162098,30555,100,14410,23507,1,30465,100,14295,23881,3
0,1405105376,163107,30555,100,14410,23507,1,30465,100,14300,23881,3
0,1405105377,164113,30555,100,14415,23507,1,30465,100,14300,23881,3
0,1405105378,165114,30555,100,14415,23507,1,30465,100,14300,23881,3
0,1405105379,166118,30555,100,14415,23507,1,30465,100,14305,23881,3
0,1405105380,167120,30555,100,14420,23507,1,30465,100,14305,23881,3
0,1405105381,168122,30555,100,14420,23507,1,30465,100,14310,23881,3
0,1405105382,169125,30555,100,14425,23507,1,30465,100,14310,23881,3
0,1405105383,170129,30555,100,14425,23507,1,30465,100,14310,23881,3
0,1405105384,171140,30555,100,14425,23507,1,30465,100,14310,23881,3
0,1405105385,172152,30555,100,14430,23507,1,30465,100,14315,23881,3
0,1405105386,173153,30555,100,14430,23507,1,30465,100,14315,23881,3
0,1405105387,174158,30555,100,14430,23507,1,30465,100,14315,23881,3
0,1405105388,175163,30555,100,14430,23507,1,30465,100,14320,23881,3
0,1405105389,176170,30555,100,14435,23507,1,30465,98,14320,23881,3
0,1405105390,177176,30555,100,14435,23507,1,30465,98,14320,23881,3
0,1405105391,178183,30555,100,14435,23507,1,30465,98,14325,23881,3
0,1405105392,179187,30555,100,14440,23507,1,30465,97,14325,23881,3
0,1405105393,180191,30555,100,14440,23507,1,30465,97,14325,23881,3
0,1405105394,181194,30555,100,14440,23507,1,30465,98,14325,23881,3
0,1405105395,182196,30555,100,14445,23507,1,30465,97,14330,23881,3
0,1405105396,183199,30555,100,14445,23507,1,30465,97,14330,23881,3
0,1405105397,184204,30555,100,14445,23507,1,30465,97,14330,23881,3
0,1405105398,185210,30555,100,14445,23507,1,30465,97,14330,23881,3
0,1405105399,186216,30555,100,14450,23507,1,30465,97,14335,23881,3
0,1405105400,187222,30555,100,14450,23507,1,30465,97,14335,23881,3
0,1405105401,188228,30555,100,14450,23507,1,30465,97,14340,23881,3
0,1405105402,189231,30555,100,14450,23507,1,30465,97,14340,23881,3
0,1405105403,190234,30555,100,14455,23507,1,30465,95,14340,23881,3
0,1405105404,191239,30555,100,14455,23496,1,30465,95,14340,23881,3
0,1405105405,192240,30555,100,14455,23507,1,30465,95,14340,23881,3
0,1405105406,193244,30555,100,14460,23507,1,30465,95,14345,23881,3
0,1405105407,194248,30555,100,14460,23507,1,30465,95,14345,23881,3
0,1405105408,195254,30555,100,14460,23507,1,30465,95,14345,23870,3
0,1405105409,196256,30555,100,14460,23507,1,30465,95,14345,23870,3
0,1405105410,197258,30555,100,14465,23496,1,30465,95,14350,23881,3
0,1405105411,198263,30555,98,14465,23507,1,30465,94,14350,23881,3
0,1405105412,199269,30555,100,14465,23507,1,30465,97,14350,23881,3
0,1405105413,200274,30555,100,14465,23496,1,30465,95,14350,23881,3
0,1405105414,201275,30555,100,14470,23507,1,30465,95,14355,23870,3
0,1405105415,202277,30555,100,14470,23507,1,30465,95,14355,23881,3
0,1405105416,203279,30555,100,14470,23507,1,30465,95,14355,23881,3
0,1405105417,204283,30555,100,14475,23507,1,30465,95,14360,23881,3
0,1405105418,205289,30555,100,14475,23507,1,30465,94,14360,23881,3
0,1405105419,206297,30555,98,14475,23507,1,30465,92,14360,23881,3
0,1405105420,207300,30555,98,14475,23507,1,30465,92,14360,23870,3
0,1405105421,208307,30555,98,14480,23507,1,30465,92,14365,23881,3
0,1405105422,209308,30555,100,14480,23507,1,30465,92,14365,23870,3
0,1405105423,210310,30555,100,14480,23496,1,30465,92,14365,23881,3
0,1405105424,211314,30555,98,14485,23507,1,30465,92,14365,23870,3
0,1405105425,212321,30555,98,14485,23496,1,30465,92,14370,23881,3
0,1405105426,213327,30555,98,14485,23496,1,30465,91,14370,23881,3
0,1405105427,214334,30555,98,14485,23496,1,30465,91,14370,23881,3
0,1405105428,215340,30555,98,14490,23507,1,30465,91,14370,23881,3
0,1405105429,216341,30555,98,14490,23496,1,30465,91,14375,23881,3
0,1405105430,217343,30555,98,14490,23496,1,30465,91,14375,23881,3
0,1405105431,218348,30555,98,14490,23496,1,30465,92,14375,23881,3
0,1405105432,219353,30555,98,14490,23496,1,30465,92,14375,23881,3
0,1405105433,220354,30555,100,14495,23496,1,30465,97,14375,23881,3
0,1405105434,221358,30555,100,14495,23496,1,30465,98,14380,23870,3
0,1405105435,222360,30555,100,14495,23496,1,30465,95,14380,23870,3
0,1405105436,223362,30555,100,14495,23496,1,30465,95,14380,23870,3
0,1405105437,224364,30555,100,14500,23496,1,30465,95,14380,23881,3
0,1405105438,225366,30555,100,14500,23496,1,30465,98,14385,23881,3
0,1405105439,226374,30555,100,14500,23496,1,30465,100,14385,23881,3
0,1405105440,227377,30555,100,14500,23496,1,30465,100,14385,23870,3
0,1405105441,228381,30555,100,14505,23496,1,30465,95,14385,23881,3
0,1405105442,229387,30555,100,14505,23496,1,30465,95,14390,23870,3
0,1405105443,230394,30555,100,14505,23496,1,30465,95,14390,23870,3
0,1405105444,231398,30555,100,14505,23496,1,30465,97,14390,23881,3
0,1405105445,232404,30555,100,14505,23496,1,30465,100,14390,23870,3
0,1405105446,233406,30555,100,14510,23496,1,30465,103,14390,23881,3
0,1405105447,234409,30555,100,14510,23496,1,30465,103,14395,23870,3
0,1405105448,235416,30555,100,14510,23496,1,30465,103,14395,23870,3
0,1405105449,236422,30555,100,14515,23496,1,30465,103,14395,23881,3
0,1405105450,237424,30555,100,14515,23496,1,30465,101,14400,23870,3
0,1405105451,238426,30555,100,14515,23496,1,30465,101,14400,23870,3
0,1405105452,239428,30555,100,14515,23496,1,30465,101,14400,23870,3
0,1405105453,240434,30555,100,14520,23496,1,30465,98,14400,23881,3
0,1405105454,241435,30555,100,14520,23496,1,30465,98,14400,23870,3
0,1405105455,242439,30555,100,14520,23496,1,30465,98,14400,23870,3
0,1405105456,243442,30555,100,14520,23496,1,30465,98,14405,23870,3
